timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,stock,change
2019-11-22,52.9600,53.1878,52.7500,53.0300,53.0300,9113312,0.0000,1.0000,KO,0.069999695
2019-11-21,53.1100,53.3400,52.7750,52.9600,52.9600,7839784,0.0000,1.0000,KO,-0.15000153
2019-11-20,53.1000,53.4000,53.0100,53.2200,53.2200,11970306,0.0000,1.0000,KO,0.12000275
2019-11-19,53.1500,53.3100,52.8700,53.0800,53.0800,12679531,0.0000,1.0000,KO,-0.069999695
2019-11-18,52.6800,53.4400,52.6700,53.0300,53.0300,13782020,0.0000,1.0000,KO,0.34999847
2019-11-15,52.6400,52.6800,52.3750,52.6700,52.6700,8982389,0.0000,1.0000,KO,0.02999878
2019-11-14,52.5300,52.6700,52.3500,52.6300,52.6300,8660325,0.0000,1.0000,KO,0.10000229
2019-11-13,52.1800,52.4500,51.9612,52.4100,52.4100,12538024,0.0000,1.0000,KO,0.22999954
2019-11-12,51.9100,51.9100,51.5831,51.7100,51.7100,12656881,0.0000,1.0000,KO,-0.20000076
2019-11-11,52.3300,52.3700,51.7750,51.8400,51.8400,8198125,0.0000,1.0000,KO,-0.49000168
2019-11-08,52.4600,52.6000,52.0900,52.2100,52.2100,7141418,0.0000,1.0000,KO,-0.25
2019-11-07,52.8800,53.0000,51.9600,52.2900,52.2900,11725522,0.0000,1.0000,KO,-0.59000015
2019-11-06,52.5300,52.8000,52.4100,52.8000,52.8000,13288378,0.0000,1.0000,KO,0.27000046
2019-11-05,52.8900,52.8900,52.1200,52.4200,52.4200,19275918,0.0000,1.0000,KO,-0.47000122
2019-11-04,53.9600,54.0000,52.9700,53.1400,53.1400,17487521,0.0000,1.0000,KO,-0.8199997
2019-11-01,54.6300,54.7400,53.8500,53.9000,53.9000,9889209,0.0000,1.0000,KO,-0.72999954
2019-10-31,53.9600,54.4700,53.8500,54.4300,54.4300,13981375,0.0000,1.0000,KO,0.47000122
2019-10-30,53.5200,54.0500,53.1600,53.9400,53.9400,8620868,0.0000,1.0000,KO,0.41999817
2019-10-29,53.3900,53.6600,53.2600,53.4100,53.4100,7999671,0.0000,1.0000,KO,0.020000458
2019-10-28,53.7400,53.9500,53.3700,53.5700,53.5700,8865252,0.0000,1.0000,KO,-0.17000198
