timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,stock,change
2019-11-22,136.2300,136.4300,135.2200,135.4100,135.4100,225765,0.0000,1.0000,SAP,-0.81999207
2019-11-21,135.4400,135.9300,135.1600,135.4300,135.4300,280889,0.0000,1.0000,SAP,-0.010009766
2019-11-20,135.2900,135.9600,134.2500,135.0000,135.0000,303766,0.0000,1.0000,SAP,-0.2899933
2019-11-19,137.0100,137.0200,135.3700,135.7400,135.7400,431073,0.0000,1.0000,SAP,-1.269989
2019-11-18,134.2000,135.7800,133.6700,135.1800,135.1800,739494,0.0000,1.0000,SAP,0.9799957
2019-11-15,134.2700,135.6450,134.0800,135.4800,135.4800,383755,0.0000,1.0000,SAP,1.2099915
2019-11-14,134.1500,134.5400,133.8000,134.4100,134.4100,345421,0.0000,1.0000,SAP,0.26000977
2019-11-13,134.4700,134.8100,134.1263,134.3000,134.3000,452030,0.0000,1.0000,SAP,-0.16999817
2019-11-12,135.7300,136.2500,135.1700,135.3700,135.3700,582640,0.0000,1.0000,SAP,-0.3600006
2019-11-11,135.9600,137.1200,135.9600,136.7800,136.7800,456926,0.0000,1.0000,SAP,0.81999207
2019-11-08,135.3900,136.4400,135.1100,136.4400,136.4400,328307,0.0000,1.0000,SAP,1.050003
2019-11-07,134.7000,135.6900,134.6200,135.0800,135.0800,281352,0.0000,1.0000,SAP,0.38000488
2019-11-06,134.8600,135.2200,134.3900,135.1100,135.1100,459506,0.0000,1.0000,SAP,0.25
2019-11-05,133.5700,133.7200,132.6600,133.5600,133.5600,490683,0.0000,1.0000,SAP,-0.010009766
2019-11-04,134.9900,135.2300,134.2700,134.4700,134.4700,468603,0.0000,1.0000,SAP,-0.5200043
2019-11-01,133.9300,134.2650,133.3000,133.6900,133.6900,1529638,0.0000,1.0000,SAP,-0.23999023
2019-10-31,132.7300,133.2500,132.2500,132.5800,132.5800,415122,0.0000,1.0000,SAP,-0.1499939
2019-10-30,132.2600,133.5000,131.1800,133.2300,133.2300,487417,0.0000,1.0000,SAP,0.9700012
2019-10-29,131.8500,132.4300,131.6600,131.7400,131.7400,515417,0.0000,1.0000,SAP,-0.11000061
2019-10-28,132.5700,133.1900,132.3800,132.7700,132.7700,442831,0.0000,1.0000,SAP,0.19999695
2019-10-25,131.3500,132.2300,130.9500,131.8700,131.8700,569156,0.0000,1.0000,SAP,0.519989
2019-10-24,131.4700,132.1800,131.3900,131.7900,131.7900,809372,0.0000,1.0000,SAP,0.31999207
2019-10-23,130.9100,131.8400,130.8600,131.6600,131.6600,709075,0.0000,1.0000,SAP,0.75
2019-10-22,133.3100,133.9800,131.5800,131.8000,131.8000,1092808,0.0000,1.0000,SAP,-1.5099945
2019-10-21,132.9800,133.3200,131.2700,132.7100,132.7100,1212517,0.0000,1.0000,SAP,-0.269989
2019-10-18,129.7800,129.9600,127.9500,129.1300,129.1300,1659545,0.0000,1.0000,SAP,-0.6499939
2019-10-17,129.9500,130.1200,128.3500,128.6000,128.6000,972178,0.0000,1.0000,SAP,-1.3499908
2019-10-16,128.8500,129.2800,128.4700,128.7200,128.7200,1092715,0.0000,1.0000,SAP,-0.13000488
2019-10-15,125.8300,127.8900,125.4700,127.1800,127.1800,834601,0.0000,1.0000,SAP,1.3499985
2019-10-14,125.9400,126.5600,125.7400,126.0500,126.0500,879197,0.0000,1.0000,SAP,0.11000061
2019-10-11,125.7200,127.9000,125.4700,126.2000,126.2000,2256723,0.0000,1.0000,SAP,0.47999573
2019-10-10,114.9600,116.1600,114.5600,115.2500,115.2500,1087053,0.0000,1.0000,SAP,0.29000092
2019-10-09,115.8500,116.7400,115.5800,116.0500,116.0500,1064702,0.0000,1.0000,SAP,0.20000458
2019-10-08,113.8800,114.4400,112.8000,112.9000,112.9000,800642,0.0000,1.0000,SAP,-0.9799957
2019-10-07,114.0700,115.0500,114.0700,114.5300,114.5300,641898,0.0000,1.0000,SAP,0.45999908
2019-10-04,114.9800,115.4100,114.4300,115.3700,115.3700,806378,0.0000,1.0000,SAP,0.3899994
2019-10-03,114.0500,115.2700,112.8900,115.1100,115.1100,506510,0.0000,1.0000,SAP,1.0599976
2019-10-02,114.8600,115.0200,112.9400,113.6600,113.6600,705951,0.0000,1.0000,SAP,-1.199997
2019-10-01,118.1200,118.1200,116.3200,117.1500,117.1500,799348,0.0000,1.0000,SAP,-0.9700012
2019-09-30,117.2600,118.3400,117.0600,117.8700,117.8700,1270014,0.0000,1.0000,SAP,0.6100006
2019-09-27,118.9700,119.0600,116.7300,117.4400,117.4400,1339829,0.0000,1.0000,SAP,-1.5299988
2019-09-26,117.5200,118.1090,117.0000,117.6600,117.6600,1813482,0.0000,1.0000,SAP,0.14000702
2019-09-25,117.2500,117.5000,116.2500,117.2600,117.2600,1036851,0.0000,1.0000,SAP,0.010002136
2019-09-24,119.6800,119.9383,118.3000,118.6800,118.6800,997719,0.0000,1.0000,SAP,-1.0
2019-09-23,118.8600,119.3600,118.6300,118.9000,118.9000,645390,0.0000,1.0000,SAP,0.040000916
2019-09-20,119.6100,120.8329,119.0300,119.4000,119.4000,1146533,0.0000,1.0000,SAP,-0.20999908
2019-09-19,120.3200,120.7200,119.7900,119.8100,119.8100,314676,0.0000,1.0000,SAP,-0.51000214
2019-09-18,119.6000,120.1300,118.5500,119.6800,119.6800,372397,0.0000,1.0000,SAP,0.08000183
2019-09-17,118.9000,120.1200,118.7700,120.0100,120.0100,391674,0.0000,1.0000,SAP,1.1100006
2019-09-16,117.1100,117.7100,116.8500,117.5100,117.5100,422318,0.0000,1.0000,SAP,0.40000153
2019-09-13,119.9700,120.0400,118.8500,118.9600,118.9600,525868,0.0000,1.0000,SAP,-1.0100021
2019-09-12,120.5400,121.3400,120.0700,120.8800,120.8800,492352,0.0000,1.0000,SAP,0.33999634
2019-09-11,120.0000,120.4200,119.5600,119.9300,119.9300,1057819,0.0000,1.0000,SAP,-0.069999695
2019-09-10,119.4800,120.7800,118.9100,120.7800,120.7800,600938,0.0000,1.0000,SAP,1.2999954
2019-09-09,122.5600,122.6600,121.0700,121.5600,121.5600,512782,0.0000,1.0000,SAP,-1.0
2019-09-06,122.8200,123.1000,121.8300,121.9400,121.9400,329133,0.0000,1.0000,SAP,-0.87999725
2019-09-05,122.7100,123.5900,122.4100,123.3000,123.3000,568679,0.0000,1.0000,SAP,0.59000397
2019-09-04,119.8200,120.6600,119.5100,120.5500,120.5500,532738,0.0000,1.0000,SAP,0.73000336
2019-09-03,118.8100,119.1900,118.0900,118.3100,118.3100,514754,0.0000,1.0000,SAP,-0.5
2019-08-30,120.7800,120.8500,118.6000,119.1500,119.1500,598813,0.0000,1.0000,SAP,-1.6299973
2019-08-29,119.6000,120.3018,119.3300,119.8800,119.8800,322709,0.0000,1.0000,SAP,0.27999878
2019-08-28,118.2300,118.9500,117.4100,118.4100,118.4100,461745,0.0000,1.0000,SAP,0.1800003
2019-08-27,120.9300,121.1300,119.2400,119.9500,119.9500,447529,0.0000,1.0000,SAP,-0.98000336
2019-08-26,118.7000,118.8600,118.0200,118.8000,118.8000,329473,0.0000,1.0000,SAP,0.1000061
2019-08-23,119.2400,120.1850,117.3150,117.5200,117.5200,393368,0.0000,1.0000,SAP,-1.7200012
2019-08-22,120.1800,120.3800,118.7500,119.4700,119.4700,348786,0.0000,1.0000,SAP,-0.7099991
2019-08-21,121.4800,121.9000,120.9900,121.2400,121.2400,639123,0.0000,1.0000,SAP,-0.2400055
2019-08-20,118.8800,118.9800,117.9400,117.9900,117.9900,341528,0.0000,1.0000,SAP,-0.8899994
2019-08-19,120.2500,120.2600,119.4800,119.7000,119.7000,279437,0.0000,1.0000,SAP,-0.55000305
2019-08-16,117.9400,119.4000,117.9300,118.9800,118.9800,295814,0.0000,1.0000,SAP,1.0400009
2019-08-15,117.4800,118.3600,116.6300,117.1600,117.1600,589590,0.0000,1.0000,SAP,-0.3199997
2019-08-14,117.5800,118.0700,116.5600,116.8700,116.8700,776678,0.0000,1.0000,SAP,-0.7099991
2019-08-13,118.7900,121.4600,118.5700,120.9300,120.9300,684583,0.0000,1.0000,SAP,2.1399994
2019-08-12,119.4900,119.9500,118.7900,119.1000,119.1000,262987,0.0000,1.0000,SAP,-0.3899994
2019-08-09,119.3600,120.0700,118.5600,119.7500,119.7500,403039,0.0000,1.0000,SAP,0.3899994
2019-08-08,120.7900,121.8243,120.6800,121.5200,121.5200,475955,0.0000,1.0000,SAP,0.7299957
2019-08-07,119.0100,120.5300,118.3000,120.4700,120.4700,1024916,0.0000,1.0000,SAP,1.4599991
2019-08-06,117.9400,118.5200,116.4900,117.6500,117.6500,921466,0.0000,1.0000,SAP,-0.29000092
2019-08-05,120.0200,120.1500,117.8650,118.7300,118.7300,759567,0.0000,1.0000,SAP,-1.2899933
2019-08-02,122.5700,122.7200,121.1950,121.6800,121.6800,656803,0.0000,1.0000,SAP,-0.8899994
2019-08-01,123.5700,125.3600,122.6100,123.0700,123.0700,618650,0.0000,1.0000,SAP,-0.5
2019-07-31,124.2700,124.8408,122.0900,123.0300,123.0300,465107,0.0000,1.0000,SAP,-1.2399979
2019-07-30,123.8500,124.0300,122.5873,123.0000,123.0000,708135,0.0000,1.0000,SAP,-0.8499985
2019-07-29,127.6200,127.6200,126.1900,126.4300,126.4300,440488,0.0000,1.0000,SAP,-1.1900024
2019-07-26,126.8700,127.2450,126.7200,126.9900,126.9900,367039,0.0000,1.0000,SAP,0.11999512
2019-07-25,126.8000,126.8500,125.1100,125.3900,125.3900,669920,0.0000,1.0000,SAP,-1.4100037
2019-07-24,127.2800,127.6400,126.7650,127.6100,127.6100,748314,0.0000,1.0000,SAP,0.33000183
2019-07-23,125.1100,125.7700,124.6100,125.6300,125.6300,871030,0.0000,1.0000,SAP,0.51999664
2019-07-22,125.8400,125.9800,124.5300,124.8300,124.8300,1492442,0.0000,1.0000,SAP,-1.0099945
2019-07-19,126.1800,126.3600,124.4700,124.6300,124.6300,1481651,0.0000,1.0000,SAP,-1.550003
2019-07-18,126.7600,128.4100,125.6100,127.4200,127.4200,3230700,0.0000,1.0000,SAP,0.65999603
2019-07-17,135.6800,136.0200,133.9500,134.2200,134.2200,735501,0.0000,1.0000,SAP,-1.4599915
2019-07-16,135.3100,136.0800,134.9400,135.1200,135.1200,595740,0.0000,1.0000,SAP,-0.19000244
2019-07-15,136.8200,137.3500,136.5000,137.1300,137.1300,383956,0.0000,1.0000,SAP,0.30999756
2019-07-12,136.2500,136.9100,136.0400,136.7700,136.7700,486527,0.0000,1.0000,SAP,0.5200043
2019-07-11,136.9500,137.4900,136.4000,137.4200,137.4200,525626,0.0000,1.0000,SAP,0.47000122
2019-07-10,137.5700,138.3700,137.1950,137.6600,137.6600,675865,0.0000,1.0000,SAP,0.08999634
2019-07-09,137.5700,138.3500,137.4400,138.2800,138.2800,471561,0.0000,1.0000,SAP,0.70999146
2019-07-08,138.3200,138.7100,137.9500,138.4800,138.4800,477078,0.0000,1.0000,SAP,0.1599884
2019-07-05,138.0400,138.2800,137.0900,138.1600,138.1600,472203,0.0000,1.0000,SAP,0.120010376
2019-07-03,140.2800,140.6200,139.8500,140.1800,140.1800,1097017,0.0000,1.0000,SAP,-0.1000061
2019-07-02,138.4600,139.5850,138.4300,139.3500,139.3500,993229,0.0000,1.0000,SAP,0.8899994
2019-07-01,138.7000,139.0100,137.9355,138.3000,138.3000,2375196,0.0000,1.0000,SAP,-0.3999939
2019-06-28,135.9400,137.4852,135.7600,136.8000,136.8000,3042554,0.0000,1.0000,SAP,0.8600006
2019-06-27,133.6700,134.9500,133.4600,134.6800,134.6800,1819604,0.0000,1.0000,SAP,1.0099945
2019-06-26,133.9500,135.0500,133.8100,134.0300,134.0300,3671647,0.0000,1.0000,SAP,0.08000183
2019-06-25,136.1300,136.1500,132.9200,133.0100,133.0100,677799,0.0000,1.0000,SAP,-3.1200104
2019-06-24,135.3300,135.4000,134.7000,134.9300,134.9300,715555,0.0000,1.0000,SAP,-0.40000916
2019-06-21,133.9700,134.4799,133.4200,134.3500,134.3500,1456052,0.0000,1.0000,SAP,0.38000488
2019-06-20,134.6800,134.8000,133.2700,134.4000,134.4000,908166,0.0000,1.0000,SAP,-0.27999878
2019-06-19,131.1300,131.9600,130.7000,131.8400,131.8400,430067,0.0000,1.0000,SAP,0.70999146
2019-06-18,131.6300,132.4200,131.0900,131.7700,131.7700,921882,0.0000,1.0000,SAP,0.13999939
2019-06-17,128.6100,129.1600,128.3100,128.4600,128.4600,516661,0.0000,1.0000,SAP,-0.1499939
2019-06-14,128.0800,128.1717,127.3900,127.6500,127.6500,426575,0.0000,1.0000,SAP,-0.4300003
2019-06-13,129.3700,129.3800,128.4000,128.8100,128.8100,451692,0.0000,1.0000,SAP,-0.55999756
2019-06-12,127.7800,128.6700,127.7600,128.3100,128.3100,899931,0.0000,1.0000,SAP,0.5299988
2019-06-11,129.5800,129.7000,127.7600,128.3800,128.3800,562018,0.0000,1.0000,SAP,-1.199997
2019-06-10,129.7700,130.6700,129.4200,129.4300,129.4300,348623,0.0000,1.0000,SAP,-0.3400116
2019-06-07,128.2400,129.7999,127.9700,129.6400,129.6400,808060,0.0000,1.0000,SAP,1.3999939
2019-06-06,125.4800,126.8400,125.1600,126.4900,126.4900,914606,0.0000,1.0000,SAP,1.0099945
2019-06-05,127.2600,127.3000,125.6250,126.2600,126.2600,813925,0.0000,1.0000,SAP,-1.0
2019-06-04,123.9900,125.8800,123.2400,125.8300,125.8300,1238488,0.0000,1.0000,SAP,1.840004
2019-06-03,124.4300,124.7000,122.1200,122.8400,122.8400,970498,0.0000,1.0000,SAP,-1.590004
2019-05-31,123.3100,123.5000,122.8560,123.0800,123.0800,684312,0.0000,1.0000,SAP,-0.22999573
2019-05-30,124.2000,125.2700,124.1500,124.9200,124.9200,405146,0.0000,1.0000,SAP,0.7200012
2019-05-29,124.9400,124.9400,123.6000,124.2500,124.2500,639984,0.0000,1.0000,SAP,-0.69000244
2019-05-28,126.6300,127.4700,125.9600,126.0000,126.0000,500539,0.0000,1.0000,SAP,-0.62999725
2019-05-24,127.6100,127.9200,127.2700,127.5100,127.5100,271150,0.0000,1.0000,SAP,-0.099998474
2019-05-23,126.9700,127.0100,125.9100,126.6000,126.6000,431184,0.0000,1.0000,SAP,-0.37000275
2019-05-22,127.9600,129.0000,127.7100,128.7000,128.7000,695595,0.0000,1.0000,SAP,0.73999786
2019-05-21,127.2800,127.7100,126.6600,126.9100,126.9100,705594,0.0000,1.0000,SAP,-0.36999512
2019-05-20,124.7800,125.7300,124.2800,125.1900,125.1900,1040178,0.0000,1.0000,SAP,0.41000366
2019-05-17,128.1400,128.6700,127.2200,127.3600,127.3600,455544,0.0000,1.0000,SAP,-0.7799988
2019-05-16,127.7200,130.1100,127.6800,129.1100,129.1100,751451,1.6960,1.0000,SAP,1.3899994
2019-05-15,124.4000,126.8600,124.3700,126.1700,124.5341,936872,0.0000,1.0000,SAP,0.13410187
2019-05-14,123.6400,125.6800,123.5900,125.2000,123.5767,924770,0.0000,1.0000,SAP,-0.06330109
2019-05-13,124.3700,124.6400,123.1500,123.2400,121.6421,509497,0.0000,1.0000,SAP,-2.7279053
2019-05-10,124.7600,125.8000,123.3900,125.7500,124.1196,867362,0.0000,1.0000,SAP,-0.64040375
2019-05-09,124.3000,124.7000,123.2100,124.3700,122.7574,1096570,0.0000,1.0000,SAP,-1.5426025
2019-05-08,123.7300,124.7600,123.4800,124.3000,122.6884,674217,0.0000,1.0000,SAP,-1.0416031
2019-05-07,124.8400,125.0500,122.7600,123.4700,121.8691,707502,0.0000,1.0000,SAP,-2.9708939
2019-05-06,125.2200,126.5600,125.0800,126.4200,124.7809,408282,0.0000,1.0000,SAP,-0.43910217
2019-05-03,126.4900,127.5250,126.1100,127.4000,125.7482,441082,0.0000,1.0000,SAP,-0.7417984
2019-05-02,127.0700,127.5000,125.6500,125.9800,124.3466,721501,0.0000,1.0000,SAP,-2.7233963
2019-05-01,129.0600,129.9500,127.8300,127.8600,126.2022,748598,0.0000,1.0000,SAP,-2.8577957
2019-04-30,127.5300,128.9000,127.5300,128.8600,127.1892,903620,0.0000,1.0000,SAP,-0.34079742
2019-04-29,127.0600,129.2000,127.0200,129.0500,127.3768,1894787,0.0000,1.0000,SAP,0.31680298
2019-04-26,128.5200,128.5300,127.4200,127.4800,125.8271,1387206,0.0000,1.0000,SAP,-2.6929016
2019-04-25,127.0600,129.2900,126.8600,129.0500,127.3768,2788412,0.0000,1.0000,SAP,0.31680298
2019-04-24,125.8200,130.1572,125.6100,129.0800,127.4064,4694129,0.0000,1.0000,SAP,1.5864029
2019-04-23,113.5400,114.9000,113.5200,114.8000,113.3115,770746,0.0000,1.0000,SAP,-0.22850037
2019-04-22,112.6500,114.0000,112.6500,113.7900,112.3146,418071,0.0000,1.0000,SAP,-0.33540344
2019-04-18,112.8000,113.3500,112.4800,112.9700,111.5053,485526,0.0000,1.0000,SAP,-1.2947006
2019-04-17,112.8000,112.8000,112.0100,112.3100,110.8538,881021,0.0000,1.0000,SAP,-1.9462051
2019-04-16,112.2200,112.2500,111.1000,111.2000,109.7582,1081420,0.0000,1.0000,SAP,-2.4617996
2019-04-15,112.2600,113.1200,112.2200,112.8000,111.3375,637988,0.0000,1.0000,SAP,-0.9225006
2019-04-12,112.6600,112.6600,112.1800,112.3200,110.8637,354076,0.0000,1.0000,SAP,-1.7963028
2019-04-11,112.1800,112.3900,111.8500,112.3300,110.8736,508123,0.0000,1.0000,SAP,-1.3064041
2019-04-10,111.9300,112.3900,111.6100,112.2700,110.8143,834057,0.0000,1.0000,SAP,-1.1156998
2019-04-09,111.4000,111.4800,110.2800,110.3700,108.9390,1094547,0.0000,1.0000,SAP,-2.4609985
2019-04-08,114.3700,114.9500,113.7700,114.9300,113.4398,868482,0.0000,1.0000,SAP,-0.9302063
2019-04-05,114.5000,115.0400,114.4700,114.6100,113.1240,686550,0.0000,1.0000,SAP,-1.3759995
2019-04-04,117.2400,117.3600,115.7600,115.9500,114.4466,1130824,0.0000,1.0000,SAP,-2.793396
2019-04-03,116.6700,116.9900,116.4000,116.4300,114.9204,688806,0.0000,1.0000,SAP,-1.7495956
2019-04-02,115.6700,115.9100,115.3000,115.8100,114.3084,581968,0.0000,1.0000,SAP,-1.3615952
2019-04-01,115.7700,115.9500,115.3900,115.8200,114.3183,973235,0.0000,1.0000,SAP,-1.4516983
2019-03-29,116.0800,116.1500,115.1200,115.4600,113.9630,1325679,0.0000,1.0000,SAP,-2.1170044
2019-03-28,114.3200,114.5900,113.5800,114.2100,112.7292,1867893,0.0000,1.0000,SAP,-1.5907974
2019-03-27,113.6900,114.0100,112.6500,113.5600,112.0876,1173076,0.0000,1.0000,SAP,-1.6024017
2019-03-26,113.0700,113.9700,112.8700,113.9300,112.4528,1122972,0.0000,1.0000,SAP,-0.61720276
2019-03-25,111.4100,111.9200,111.0600,111.6000,110.1530,437180,0.0000,1.0000,SAP,-1.2570038
2019-03-22,112.6700,113.1100,111.0850,111.7200,110.2715,780027,0.0000,1.0000,SAP,-2.3984985
2019-03-21,113.3100,114.5000,113.2400,114.4300,112.9463,385045,0.0000,1.0000,SAP,-0.36370087
2019-03-20,113.7900,114.9100,113.3900,114.5300,113.0450,679558,0.0000,1.0000,SAP,-0.74500275
2019-03-19,113.3300,113.7400,112.9800,113.4400,111.9692,506113,0.0000,1.0000,SAP,-1.3608017
2019-03-18,111.9900,112.3400,111.5300,112.1400,110.6860,429562,0.0000,1.0000,SAP,-1.3040009
2019-03-15,111.6400,112.7700,111.6200,112.4900,111.0315,769114,0.0000,1.0000,SAP,-0.6084976
2019-03-14,109.3300,109.7400,108.9100,109.5200,108.1000,394181,0.0000,1.0000,SAP,-1.2300034
2019-03-13,108.5200,109.2900,108.4700,108.8600,107.4485,472356,0.0000,1.0000,SAP,-1.071495
2019-03-12,107.3600,108.2600,107.2700,108.0100,106.6096,410315,0.0000,1.0000,SAP,-0.75040436
2019-03-11,106.6600,107.9200,106.6600,107.7200,106.3233,475977,0.0000,1.0000,SAP,-0.33670044
2019-03-08,106.7700,108.0500,106.6900,107.9700,106.5701,537222,0.0000,1.0000,SAP,-0.19989777
2019-03-07,107.4300,107.4700,106.1100,106.3500,104.9711,306425,0.0000,1.0000,SAP,-2.4589005
2019-03-06,108.2600,108.2800,107.4500,107.5900,106.1950,270089,0.0000,1.0000,SAP,-2.0650024
2019-03-05,107.6200,108.2600,107.3100,107.9700,106.5701,269429,0.0000,1.0000,SAP,-1.0499039
2019-03-04,108.0000,108.0400,106.6100,107.3200,105.9285,404231,0.0000,1.0000,SAP,-2.0715027
2019-03-01,108.0000,108.5800,107.7200,108.3800,106.9748,473382,0.0000,1.0000,SAP,-1.0251999
2019-02-28,107.0400,107.3200,106.7300,107.1300,105.7410,543325,0.0000,1.0000,SAP,-1.2990036
2019-02-27,106.7100,107.0800,106.2368,107.0100,105.6225,471384,0.0000,1.0000,SAP,-1.0875015
2019-02-26,106.5400,107.6300,106.4800,107.5700,106.1753,327278,0.0000,1.0000,SAP,-0.36470032
2019-02-25,107.7200,108.0700,107.2400,107.3300,105.9384,408172,0.0000,1.0000,SAP,-1.781601
2019-02-22,108.0800,108.4800,107.9400,108.3200,106.9155,337127,0.0000,1.0000,SAP,-1.164505
2019-02-21,107.2000,107.5800,106.8100,106.9800,105.5929,298432,0.0000,1.0000,SAP,-1.6070938
2019-02-20,106.5800,107.3600,106.5800,106.8600,105.4745,730425,0.0000,1.0000,SAP,-1.1054993
2019-02-19,106.0600,106.9700,106.0600,106.7400,105.3560,292740,0.0000,1.0000,SAP,-0.70399475
2019-02-15,106.7500,106.8500,105.8500,106.8200,105.4350,328840,0.0000,1.0000,SAP,-1.3150024
2019-02-14,105.6900,106.2900,105.2600,105.9400,104.5664,494877,0.0000,1.0000,SAP,-1.1236038
2019-02-13,105.3200,106.2300,105.2400,105.2600,103.8952,385132,0.0000,1.0000,SAP,-1.424797
2019-02-12,104.5300,105.0500,104.2800,104.6300,103.2734,794273,0.0000,1.0000,SAP,-1.2565994
2019-02-11,104.3000,104.5199,103.6900,104.0900,102.7404,636498,0.0000,1.0000,SAP,-1.5596008
2019-02-08,103.9100,104.4400,103.5300,104.0300,102.6812,724529,0.0000,1.0000,SAP,-1.2288055
2019-02-07,103.8900,104.1900,102.9000,103.4600,102.1186,659556,0.0000,1.0000,SAP,-1.7714005
2019-02-06,106.0800,106.1700,105.2200,105.2700,103.9051,349863,0.0000,1.0000,SAP,-2.1749039
2019-02-05,105.8400,106.3800,105.5959,106.2700,104.8921,709516,0.0000,1.0000,SAP,-0.94789886
2019-02-04,103.1900,104.2900,102.9300,104.2100,102.8588,564868,0.0000,1.0000,SAP,-0.33119965
2019-02-01,103.8200,104.5600,103.4800,103.9500,102.6022,566191,0.0000,1.0000,SAP,-1.2177963
2019-01-31,102.4700,103.7500,102.3100,103.4200,102.0791,1027237,0.0000,1.0000,SAP,-0.39089966
2019-01-30,101.9600,103.1500,100.9700,102.5200,101.1907,1275575,0.0000,1.0000,SAP,-0.76930237
2019-01-29,103.3700,103.8900,102.1500,102.6900,101.3585,2048530,0.0000,1.0000,SAP,-2.0115051
2019-01-28,105.9000,108.3100,105.4000,106.9400,105.5534,2299630,0.0000,1.0000,SAP,-0.3466034
2019-01-25,106.5000,106.5400,105.5900,106.0100,104.6355,1036483,0.0000,1.0000,SAP,-1.864502
2019-01-24,105.5600,105.6100,104.7200,105.4000,104.0334,1999098,0.0000,1.0000,SAP,-1.5265961
2019-01-23,104.7700,104.9900,103.6600,104.1000,102.7503,539136,0.0000,1.0000,SAP,-2.019699
2019-01-22,103.5100,103.8300,102.8900,103.3300,101.9902,680417,0.0000,1.0000,SAP,-1.5198059
2019-01-18,105.2400,106.1300,104.6200,105.7400,104.3690,484358,0.0000,1.0000,SAP,-0.87099457
2019-01-17,102.3700,103.9300,102.3000,103.6300,102.2864,337976,0.0000,1.0000,SAP,-0.083602905
2019-01-16,101.7300,102.5900,101.7100,102.2500,100.9243,442496,0.0000,1.0000,SAP,-0.8057022
2019-01-15,100.8500,102.5000,100.8500,102.4300,101.1019,443058,0.0000,1.0000,SAP,0.25189972
2019-01-14,100.6500,101.5300,100.6500,101.1100,99.7990,628991,0.0000,1.0000,SAP,-0.8509979
2019-01-11,102.2000,102.4400,101.5800,101.9800,100.6578,576938,0.0000,1.0000,SAP,-1.5421982
2019-01-10,102.5500,103.4100,102.0800,103.3400,102.0001,663785,0.0000,1.0000,SAP,-0.54990387
2019-01-09,102.7800,103.1700,102.2900,102.6500,101.3191,516377,0.0000,1.0000,SAP,-1.4608994
2019-01-08,101.3700,101.4799,100.4265,101.2700,99.9570,548590,0.0000,1.0000,SAP,-1.413002
2019-01-07,99.4400,100.1900,98.7619,99.7100,98.4172,861564,0.0000,1.0000,SAP,-1.0228043
2019-01-04,97.3400,99.2000,96.9100,98.7400,97.4598,1038093,0.0000,1.0000,SAP,0.11980438
2019-01-03,96.7300,96.8300,95.4500,95.4600,94.2223,807949,0.0000,1.0000,SAP,-2.5077057
2019-01-02,98.5700,99.5600,98.3400,99.1800,97.8941,506308,0.0000,1.0000,SAP,-0.6759033
2018-12-31,100.3500,100.5100,99.1400,99.5500,98.2593,429252,0.0000,1.0000,SAP,-2.0906982
2018-12-28,100.0100,100.2100,98.9400,99.2000,97.9138,534502,0.0000,1.0000,SAP,-2.096199
2018-12-27,97.7100,99.0600,96.6400,98.9900,97.7065,978850,0.0000,1.0000,SAP,-0.003501892
2018-12-26,95.2100,98.4800,94.8100,98.3800,97.1044,559010,0.0000,1.0000,SAP,1.8944016
2018-12-24,95.8600,96.9300,95.0000,95.0000,93.7683,405543,0.0000,1.0000,SAP,-2.0916977
2018-12-21,99.3200,99.4600,95.7400,96.1400,94.8935,2155024,0.0000,1.0000,SAP,-4.4264984
2018-12-20,100.5100,101.0000,98.9800,100.1000,98.8021,854043,0.0000,1.0000,SAP,-1.707901
2018-12-19,102.0200,102.2600,98.8500,100.1100,98.8120,854381,0.0000,1.0000,SAP,-3.2080002
